id_venta,fecha_venta,cliente_id,empleado_id,id_tienda,total,estado
34059,2025-03-26 01:54:36.354872,332,75,3,149.78,ACTIVA
34060,2025-07-17 02:22:41.074964,157,60,1,188.89,ACTIVA
34061,2025-03-15 06:52:24.763242,820,52,12,133.44,ACTIVA
34062,2025-05-16 18:50:00.289509,932,79,4,935.77,ACTIVA
34063,2025-06-07 19:31:19.510351,726,5,9,972.22,ACTIVA
34064,2025-08-13 04:28:48.812764,553,86,12,616.93,ACTIVA
34065,2025-07-04 04:38:49.146234,197,34,15,982.61,ACTIVA
34066,2025-08-23 19:47:05.601194,994,45,6,881.05,ACTIVA
34067,2025-06-24 00:44:43.168102,124,28,5,395.94,ACTIVA
34068,2025-06-29 13:24:43.221021,759,36,3,471.75,ACTIVA
34069,2025-03-31 17:57:20.454353,350,91,9,563.20,ACTIVA
34070,2025-08-15 14:36:12.502664,576,26,14,392.35,ACTIVA
34071,2025-05-06 15:56:11.124432,639,11,7,966.38,ACTIVA
34072,2025-03-23 00:51:31.49878,760,36,12,732.02,ACTIVA
34073,2025-03-17 04:52:48.366185,865,45,4,973.11,ACTIVA
34074,2025-05-12 13:38:20.88997,401,8,11,569.69,ACTIVA
34075,2025-08-23 00:11:52.583058,307,71,5,586.52,ACTIVA
34076,2025-07-19 18:02:35.214106,56,8,2,684.56,ACTIVA
34077,2025-06-13 06:10:39.11965,269,96,2,204.29,ACTIVA
34078,2025-04-18 03:24:59.595069,962,71,12,732.93,ACTIVA
34079,2025-08-18 05:47:21.044437,140,2,6,841.76,ACTIVA
34080,2025-07-19 01:47:48.664648,233,33,4,256.08,ACTIVA
34081,2025-06-22 20:34:59.764887,585,37,4,998.04,ACTIVA
34082,2025-07-15 13:12:52.075126,965,87,1,788.14,ACTIVA
34083,2025-04-04 08:07:47.730645,938,80,1,460.58,ACTIVA
34084,2025-08-29 06:11:42.006455,358,57,8,271.34,ACTIVA
34085,2025-06-21 22:34:10.84428,386,43,4,836.26,ANULADA
34086,2025-03-26 10:43:24.088103,338,91,1,850.50,ACTIVA
34087,2025-06-01 06:36:19.736521,242,29,4,820.96,ACTIVA
34088,2025-05-29 18:56:05.235104,667,26,1,1022.84,ACTIVA
34089,2025-03-23 15:11:40.296391,678,30,8,731.66,ACTIVA
34090,2025-09-03 09:13:10.854494,109,85,7,58.03,ACTIVA
34091,2025-07-01 21:56:09.616133,74,88,11,289.79,ACTIVA
34092,2025-07-11 03:29:08.384902,546,71,13,594.45,ACTIVA
34093,2025-05-27 01:57:13.921657,601,59,6,802.56,ACTIVA
34094,2025-04-22 04:56:25.477084,700,39,15,951.11,ACTIVA
34095,2025-04-27 16:10:45.793605,448,88,7,885.37,ACTIVA
34096,2025-03-30 06:24:38.87546,261,64,8,469.75,ACTIVA
34097,2025-08-12 00:39:58.95223,462,15,7,321.26,ACTIVA
34098,2025-04-11 02:20:49.942762,80,98,4,318.29,ACTIVA
34099,2025-07-30 14:30:35.913926,112,35,1,809.37,ACTIVA
34100,2025-08-08 14:03:44.032669,211,51,5,195.08,ACTIVA
34101,2025-07-21 07:50:48.971449,39,46,4,127.78,ACTIVA
34102,2025-04-20 20:10:17.9552,587,14,11,1022.13,ACTIVA
34103,2025-03-18 14:02:05.423974,317,32,8,955.48,ACTIVA
34104,2025-09-05 14:02:56.206118,867,12,7,1012.52,ACTIVA
34105,2025-06-08 20:40:48.431896,501,40,15,959.17,ACTIVA
34106,2025-03-18 06:40:45.739468,932,48,4,465.70,ACTIVA
34107,2025-06-25 05:12:51.06649,503,76,6,700.12,ACTIVA
34108,2025-07-25 09:45:53.63043,565,55,9,324.82,ACTIVA
34109,2025-07-10 14:02:31.305634,51,39,7,316.75,ACTIVA
34110,2025-06-19 16:13:47.039269,400,72,11,128.72,ACTIVA
34111,2025-05-29 20:22:36.819129,2,69,3,764.90,ACTIVA
34112,2025-03-30 17:12:01.864992,603,8,13,762.16,ACTIVA
34113,2025-07-17 17:16:33.077128,519,93,10,957.04,ACTIVA
34114,2025-07-10 02:16:13.861065,404,71,2,890.21,ACTIVA
34115,2025-08-04 09:59:47.132732,241,59,1,817.01,ACTIVA
34116,2025-08-03 09:53:39.687802,967,62,7,984.64,ACTIVA
34117,2025-05-11 16:48:35.079885,600,69,14,931.08,ACTIVA
34118,2025-06-02 06:56:28.325685,963,26,12,1009.67,ANULADA
34119,2025-05-07 06:42:41.558297,641,74,3,731.46,ACTIVA
34120,2025-06-16 15:09:04.065122,509,7,12,916.40,ACTIVA
34121,2025-06-09 11:19:02.53372,980,68,10,1016.97,ACTIVA
34122,2025-05-17 14:45:17.250588,173,69,7,1027.02,ACTIVA
34123,2025-06-13 06:41:45.034775,535,40,4,436.74,ACTIVA
34124,2025-04-18 01:45:19.344801,200,99,3,717.99,ACTIVA
34125,2025-07-05 04:56:25.328032,135,93,9,879.93,ACTIVA
34126,2025-06-13 11:41:29.469226,235,84,1,170.29,ACTIVA
34127,2025-07-16 21:26:48.56553,232,16,4,240.59,ACTIVA
34128,2025-08-03 12:42:09.471185,552,8,9,511.30,ACTIVA
34129,2025-07-06 22:47:33.977281,480,39,4,593.25,ACTIVA
34130,2025-04-01 03:10:01.874621,176,78,14,900.08,ACTIVA
34131,2025-05-28 19:12:17.962643,435,32,4,326.73,ACTIVA
34132,2025-07-02 14:33:03.222418,875,22,7,294.80,ACTIVA
34133,2025-08-15 19:17:43.337309,930,76,9,147.33,ACTIVA
34134,2025-06-28 11:28:54.479735,331,65,2,356.38,ACTIVA
34135,2025-08-25 16:02:24.75798,479,80,12,219.39,ACTIVA
34136,2025-06-08 06:51:07.449341,912,7,12,603.68,ACTIVA
34137,2025-08-04 03:25:11.991187,731,33,14,487.66,ACTIVA
34138,2025-05-02 16:24:51.793648,218,21,5,978.84,ACTIVA
34139,2025-07-12 15:48:35.447136,622,57,12,465.67,ACTIVA
34140,2025-03-30 12:00:11.600819,759,90,13,969.96,ACTIVA
34141,2025-06-06 23:25:15.697712,446,84,5,627.42,ACTIVA
34142,2025-07-04 17:44:18.702244,934,15,12,240.87,ACTIVA
34143,2025-06-18 07:25:01.960937,834,70,10,213.91,ACTIVA
34144,2025-04-10 01:56:42.971531,75,84,9,557.96,ACTIVA
34145,2025-07-23 07:30:47.283388,687,98,6,138.04,ACTIVA
34146,2025-04-10 11:55:23.875594,795,39,4,893.15,ACTIVA
34147,2025-07-09 12:16:35.207792,714,4,9,630.16,ACTIVA
34148,2025-04-11 13:50:03.333628,258,50,5,526.23,ACTIVA
34149,2025-04-17 11:06:55.338797,34,82,13,633.27,ACTIVA
34150,2025-06-25 15:13:39.537536,964,64,6,850.05,ACTIVA
34151,2025-06-05 17:11:26.848584,170,10,9,790.23,ACTIVA
34152,2025-09-03 20:36:13.574265,695,18,14,922.25,ACTIVA
34153,2025-04-18 07:40:12.142123,696,42,8,400.47,ACTIVA
34154,2025-08-15 08:37:58.433286,710,100,4,747.69,ACTIVA
34155,2025-06-17 08:52:45.481292,256,39,5,453.64,ACTIVA
34156,2025-04-30 07:02:09.00624,45,92,1,941.87,ANULADA
34157,2025-05-16 13:57:21.76257,978,59,10,627.00,ACTIVA
34158,2025-05-28 03:16:24.977834,845,47,9,1005.47,ACTIVA
34159,2025-05-08 15:12:48.924782,695,66,12,402.34,ACTIVA
34160,2025-06-06 00:46:08.005257,739,12,5,340.75,ACTIVA
34161,2025-03-15 01:17:01.485863,148,26,1,448.02,ACTIVA
34162,2025-05-12 23:24:10.665533,532,35,9,183.81,ACTIVA
34163,2025-04-17 16:28:37.322781,428,58,3,153.88,ACTIVA
34164,2025-05-29 19:21:01.280054,557,32,2,402.79,ACTIVA
34165,2025-08-18 09:03:40.479802,389,69,10,568.30,ACTIVA
34166,2025-05-06 21:41:45.474998,309,35,8,482.50,ACTIVA
34167,2025-07-18 07:00:14.359135,678,34,8,117.01,ACTIVA
34168,2025-04-27 22:35:44.718721,719,60,4,697.57,ACTIVA
34169,2025-08-29 20:08:18.681005,722,22,14,173.10,ACTIVA
34170,2025-06-30 00:31:52.312715,127,42,11,878.93,ACTIVA
34171,2025-05-15 00:04:04.795673,606,93,7,588.76,ACTIVA
34172,2025-08-19 07:13:25.753831,407,30,12,477.71,ACTIVA
34173,2025-07-12 15:58:51.881345,307,65,10,598.43,ACTIVA
34174,2025-06-24 09:58:07.56219,294,50,6,150.40,ACTIVA
34175,2025-08-12 06:30:08.800737,410,30,7,95.09,ACTIVA
34176,2025-07-02 10:06:28.411664,701,98,2,332.18,ACTIVA
34177,2025-04-20 08:42:42.834377,55,58,6,856.32,ACTIVA
34178,2025-08-12 22:53:22.026578,956,8,13,224.06,ACTIVA
34179,2025-03-28 13:08:30.860324,975,33,8,897.95,ACTIVA
34180,2025-03-26 03:22:45.386012,48,23,12,911.92,ACTIVA
34181,2025-07-08 01:19:51.404245,190,100,1,557.16,ACTIVA
34182,2025-03-15 02:48:08.296722,336,89,15,450.09,ACTIVA
34183,2025-06-21 11:37:17.211947,819,19,15,836.98,ACTIVA
34184,2025-06-14 20:47:38.471368,579,16,12,713.20,ACTIVA
34185,2025-03-29 00:04:20.061355,340,88,7,499.40,ACTIVA
34186,2025-07-20 13:17:38.911684,436,67,1,510.18,ACTIVA
34187,2025-05-17 06:26:08.403206,286,55,6,315.41,ACTIVA
34188,2025-08-24 22:05:46.664055,320,16,12,200.06,ACTIVA
34189,2025-07-05 10:06:27.648444,614,63,8,770.89,ACTIVA
34190,2025-05-18 10:12:14.42975,181,34,3,137.22,ACTIVA
34191,2025-08-15 01:56:41.474299,449,8,6,418.66,ACTIVA
34192,2025-07-25 01:50:26.651095,84,60,4,786.66,ACTIVA
34193,2025-03-27 04:44:59.731015,121,13,6,556.08,ACTIVA
34194,2025-08-24 15:04:15.52087,926,73,9,921.24,ACTIVA
34195,2025-07-12 00:14:09.979642,373,37,8,1019.70,ACTIVA
34196,2025-08-08 06:21:57.337925,876,7,6,661.33,ACTIVA
34197,2025-04-22 10:29:00.370496,102,18,13,885.09,ACTIVA
34198,2025-06-30 21:41:01.51632,142,47,14,862.58,ACTIVA
34199,2025-07-29 01:31:41.661491,870,81,2,281.29,ACTIVA
34200,2025-08-01 11:26:38.732599,323,23,8,352.71,ACTIVA
34201,2025-08-01 20:20:00.019805,651,95,9,436.85,ACTIVA
34202,2025-04-01 14:45:19.289996,586,22,14,197.07,ACTIVA
34203,2025-05-13 03:57:21.107401,328,93,12,709.18,ACTIVA
34204,2025-08-12 18:45:59.982576,830,14,15,350.06,ACTIVA
34205,2025-09-04 03:15:26.072789,62,57,11,589.42,ACTIVA
34206,2025-08-20 19:22:54.957842,849,95,14,594.21,ACTIVA
34207,2025-08-29 19:51:21.238166,765,13,2,723.91,ACTIVA
34208,2025-03-16 01:21:07.49816,554,34,13,329.64,ACTIVA
34209,2025-06-07 00:52:31.230511,696,33,9,465.34,ACTIVA
34210,2025-06-01 23:38:52.132405,592,98,4,507.72,ACTIVA
34211,2025-07-25 16:27:44.899937,624,93,10,781.81,ACTIVA
34212,2025-03-18 03:58:25.017426,806,82,11,323.94,ACTIVA
34213,2025-07-11 01:39:40.48251,329,21,12,580.14,ACTIVA
34214,2025-03-22 01:36:51.626859,419,25,13,986.36,ACTIVA
34215,2025-03-23 16:26:12.118912,684,83,7,940.16,ACTIVA
34216,2025-03-11 13:50:44.719534,115,11,10,176.26,ACTIVA
34217,2025-04-19 14:55:41.532975,503,9,12,753.40,ANULADA
34218,2025-06-17 10:12:28.464882,784,70,3,549.79,ANULADA
34219,2025-05-10 20:03:23.151888,827,43,10,417.72,ACTIVA
34220,2025-08-25 10:09:03.879455,85,19,11,390.17,ACTIVA
34221,2025-07-04 21:22:23.927494,120,79,9,601.59,ACTIVA
34222,2025-05-17 23:52:40.761617,76,100,9,984.61,ACTIVA
34223,2025-06-03 23:47:17.337781,624,48,3,348.81,ACTIVA
34224,2025-05-26 13:21:58.14204,834,17,4,786.78,ACTIVA
34225,2025-06-07 05:43:50.244266,826,83,3,943.91,ACTIVA
34226,2025-03-27 23:58:13.66116,900,45,9,754.84,ACTIVA
34227,2025-05-18 04:27:19.873524,807,2,6,364.62,ACTIVA
34228,2025-07-14 20:10:05.704539,512,78,4,270.90,ANULADA
34229,2025-03-25 03:36:34.820665,118,18,13,186.78,ACTIVA
34230,2025-05-14 23:33:56.398665,542,63,13,915.21,ANULADA
34231,2025-07-21 19:41:19.257493,645,10,8,66.94,ACTIVA
34232,2025-08-23 06:11:40.012302,892,91,6,1032.19,ACTIVA
34233,2025-08-27 01:16:04.203206,378,87,4,1020.76,ACTIVA
34234,2025-03-25 06:02:07.643364,847,41,5,230.62,ANULADA
34235,2025-05-09 21:50:39.948382,289,75,3,573.28,ACTIVA
34236,2025-08-07 23:29:35.807822,834,72,8,749.77,ACTIVA
34237,2025-06-21 13:45:40.943359,762,16,12,60.21,ACTIVA
34238,2025-08-14 07:40:35.481588,510,77,15,763.99,ACTIVA
34239,2025-04-29 11:40:03.270811,527,7,10,420.51,ACTIVA
34240,2025-07-01 05:38:21.760192,977,89,13,471.52,ACTIVA
34241,2025-07-27 18:13:03.862908,48,19,12,126.00,ACTIVA
34242,2025-04-14 12:37:55.238409,235,88,2,115.62,ACTIVA
34243,2025-03-20 19:57:27.640407,953,28,13,720.69,ACTIVA
34244,2025-06-17 13:52:50.01582,836,73,6,504.97,ACTIVA
34245,2025-04-29 19:29:50.556997,344,75,8,761.22,ACTIVA
34246,2025-08-07 22:34:22.358887,882,88,13,336.81,ACTIVA
34247,2025-04-12 06:29:02.011669,300,57,9,78.85,ACTIVA
34248,2025-04-15 17:44:00.340338,15,78,9,924.74,ACTIVA
34249,2025-03-25 05:02:14.871164,821,84,10,463.26,ACTIVA
34250,2025-06-01 23:30:00.786995,472,33,3,272.70,ACTIVA
34251,2025-05-21 18:54:11.713588,10,28,15,681.97,ACTIVA
34252,2025-05-02 00:49:30.598388,448,49,10,219.07,ACTIVA
34253,2025-05-03 23:59:25.350352,257,64,6,657.76,ACTIVA
34254,2025-05-21 09:32:37.702953,935,34,5,263.64,ACTIVA
34255,2025-05-02 22:43:35.017444,244,92,9,916.74,ACTIVA
34256,2025-06-27 04:32:52.713423,483,67,6,404.26,ACTIVA
34257,2025-04-13 13:10:40.673134,235,51,11,563.16,ACTIVA
34258,2025-08-17 07:53:30.152086,581,28,3,402.75,ACTIVA
34259,2025-07-09 20:33:03.80853,632,79,3,340.82,ACTIVA
34260,2025-08-21 21:52:14.485952,798,78,12,344.29,ACTIVA
34261,2025-04-12 02:55:37.338014,52,80,11,573.13,ACTIVA
34262,2025-04-04 23:02:13.275225,645,72,9,193.59,ACTIVA
34263,2025-03-20 14:58:56.437074,571,19,10,183.60,ACTIVA
34264,2025-06-19 11:06:51.401478,303,16,5,789.46,ACTIVA
34265,2025-03-18 00:25:20.767767,934,70,14,737.76,ACTIVA
34266,2025-07-02 00:06:28.675492,439,34,4,934.33,ACTIVA
34267,2025-05-22 05:45:28.156686,177,10,4,809.08,ACTIVA
34268,2025-04-20 18:07:44.669057,464,43,6,522.46,ACTIVA
34269,2025-04-24 22:35:20.247756,65,96,13,360.27,ACTIVA
34270,2025-07-18 21:49:42.007865,953,80,5,357.71,ACTIVA
34271,2025-05-26 07:35:08.484463,491,42,11,227.09,ACTIVA
34272,2025-05-23 23:15:47.817058,603,31,2,807.41,ACTIVA
34273,2025-07-13 21:34:01.011216,640,14,8,747.82,ACTIVA
34274,2025-06-25 03:30:55.532452,714,36,4,317.29,ACTIVA
34275,2025-05-11 15:00:37.828763,217,63,7,686.52,ACTIVA
34276,2025-04-12 04:44:21.427863,136,29,1,681.42,ACTIVA
34277,2025-03-13 13:57:18.309389,698,55,3,690.37,ACTIVA
34278,2025-04-25 19:08:11.679074,962,85,5,890.65,ACTIVA
34279,2025-08-29 02:41:45.482831,612,21,15,107.26,ACTIVA
34280,2025-07-18 04:43:52.245957,130,94,11,123.01,ACTIVA
34281,2025-04-02 07:34:56.390265,747,16,4,273.47,ACTIVA
34282,2025-06-21 23:19:34.848444,909,67,10,1045.46,ACTIVA
34283,2025-06-14 11:15:18.791666,249,36,2,608.34,ACTIVA
34284,2025-05-02 03:07:20.257013,370,46,13,937.00,ACTIVA
34285,2025-08-15 03:43:07.361715,466,65,9,849.34,ACTIVA
34286,2025-05-24 23:43:27.485241,645,73,15,540.50,ACTIVA
34287,2025-08-24 23:52:37.977818,874,38,2,749.30,ACTIVA
34288,2025-08-26 10:33:10.969068,832,27,11,314.80,ACTIVA
34289,2025-06-02 18:08:11.348886,433,38,13,451.06,ACTIVA
34290,2025-05-02 13:02:43.122241,474,77,11,194.66,ACTIVA
34291,2025-05-01 19:40:46.38407,660,33,2,973.90,ANULADA
34292,2025-04-05 12:49:39.140558,139,73,10,322.55,ACTIVA
34293,2025-04-04 05:33:45.588837,997,86,6,840.83,ACTIVA
34294,2025-04-05 03:26:07.185435,216,74,15,131.59,ACTIVA
34295,2025-08-15 14:37:04.884572,554,81,4,440.47,ACTIVA
34296,2025-05-14 11:17:27.501552,287,37,8,750.54,ACTIVA
34297,2025-05-03 07:23:41.397729,696,90,13,726.26,ACTIVA
34298,2025-05-16 21:29:16.577861,500,57,7,236.03,ACTIVA
34299,2025-06-14 03:13:41.202221,388,63,6,602.36,ACTIVA
34300,2025-04-07 13:50:33.103568,797,77,14,939.63,ACTIVA
34301,2025-04-13 18:11:29.868218,288,99,5,421.40,ACTIVA
34302,2025-05-05 18:09:10.377629,384,34,10,581.79,ACTIVA
34303,2025-06-16 13:29:33.479517,939,93,10,1047.56,ACTIVA
34304,2025-05-21 11:50:35.834439,70,6,11,187.29,ACTIVA
34305,2025-08-11 21:59:57.685395,133,97,8,851.03,ACTIVA
34306,2025-03-20 04:54:51.837803,981,6,15,916.07,ACTIVA
34307,2025-05-10 00:37:32.964943,432,23,14,541.49,ACTIVA
34308,2025-03-25 03:17:45.944034,649,58,8,493.94,ACTIVA
34309,2025-08-18 14:13:19.377566,698,51,12,103.68,ACTIVA
34310,2025-08-10 16:45:43.407764,203,101,3,300.30,ACTIVA
34311,2025-08-20 10:34:28.772059,100,11,7,803.57,ACTIVA
34312,2025-07-02 20:39:48.692679,569,26,13,653.64,ACTIVA
34313,2025-07-15 04:30:21.339359,259,48,4,817.37,ACTIVA
34314,2025-04-18 06:04:16.140289,582,97,2,1018.50,ACTIVA
34315,2025-08-02 20:39:45.495476,606,31,14,541.49,ACTIVA
34316,2025-08-08 06:56:29.120464,476,21,2,185.49,ACTIVA
34317,2025-04-19 20:25:15.620811,632,62,8,298.81,ACTIVA
34318,2025-08-02 13:14:21.56128,649,29,5,196.06,ACTIVA
34319,2025-05-11 13:34:55.948018,802,8,8,67.78,ACTIVA
34320,2025-05-18 06:49:35.836287,787,85,2,415.77,ACTIVA
34321,2025-08-18 06:16:14.736938,458,89,11,1025.54,ACTIVA
34322,2025-05-13 09:26:36.40426,355,10,12,321.30,ACTIVA
34323,2025-04-22 19:36:26.016119,325,72,11,329.33,ANULADA
34324,2025-04-07 22:13:03.2767,666,79,3,229.88,ACTIVA
34325,2025-07-04 10:48:02.048863,483,98,8,848.04,ACTIVA
34326,2025-06-27 01:23:18.938987,748,79,6,96.55,ACTIVA
34327,2025-08-13 07:41:03.226109,109,87,9,293.14,ACTIVA
34328,2025-06-20 18:55:47.322326,895,54,11,432.27,ACTIVA
34329,2025-05-29 03:12:22.637573,707,75,12,247.22,ACTIVA
34330,2025-08-19 20:44:42.081346,650,56,12,874.23,ACTIVA
34331,2025-06-10 00:13:22.554213,569,34,9,452.33,ACTIVA
34332,2025-03-18 01:59:23.128391,460,3,8,930.99,ACTIVA
34333,2025-04-11 20:58:31.618088,509,56,3,332.97,ACTIVA
34334,2025-06-16 15:17:36.846388,465,20,3,833.91,ACTIVA
34335,2025-06-27 22:03:56.069354,248,85,5,966.11,ACTIVA
34336,2025-08-28 21:19:02.08299,943,3,8,455.58,ACTIVA
34337,2025-03-17 17:18:19.11021,819,89,11,259.53,ACTIVA
34338,2025-07-17 23:16:15.814504,261,19,7,178.39,ACTIVA
34339,2025-09-01 13:54:50.436358,122,61,10,848.31,ACTIVA
34340,2025-06-23 13:22:43.176903,76,37,7,1016.61,ANULADA
34341,2025-06-18 04:49:10.463514,644,43,6,673.29,ACTIVA
34342,2025-05-24 05:28:06.889262,974,29,5,229.16,ACTIVA
34343,2025-08-21 00:12:40.656991,172,9,10,623.80,ACTIVA
34344,2025-05-27 18:45:22.659542,762,11,14,295.33,ACTIVA
34345,2025-06-24 16:53:51.560896,781,16,3,408.02,ACTIVA
34346,2025-04-14 09:42:06.63362,203,76,6,521.68,ACTIVA
34347,2025-04-27 19:47:58.383308,746,53,10,629.10,ACTIVA
34348,2025-06-22 00:34:43.14525,761,77,14,266.13,ACTIVA
34349,2025-06-12 18:41:20.505765,954,85,4,673.23,ACTIVA
34350,2025-08-16 23:01:07.473165,645,80,8,214.33,ANULADA
34351,2025-06-28 21:00:56.027849,485,8,4,152.17,ACTIVA
34352,2025-08-19 01:03:29.074651,214,45,4,533.03,ACTIVA
34353,2025-08-07 15:30:51.364276,992,51,1,1024.27,ACTIVA
34354,2025-05-05 10:24:12.622741,617,27,8,209.79,ACTIVA
34355,2025-07-19 17:14:30.992169,786,63,3,917.46,ACTIVA
34356,2025-07-22 14:38:14.738579,338,100,10,585.29,ACTIVA
34357,2025-05-07 07:58:34.234044,310,39,13,819.38,ACTIVA
34358,2025-05-15 04:47:05.574005,607,96,3,869.81,ACTIVA
34359,2025-04-15 09:54:53.319263,395,33,7,832.72,ACTIVA
34360,2025-06-28 05:15:31.28011,594,78,5,292.97,ACTIVA
34361,2025-04-05 10:33:47.202945,306,98,13,819.52,ANULADA
34362,2025-05-19 02:27:20.667833,583,61,5,397.95,ACTIVA
34363,2025-04-11 15:52:24.051859,374,73,12,840.10,ACTIVA
34364,2025-05-03 15:44:49.967364,345,11,12,478.86,ACTIVA
34365,2025-05-04 11:15:27.976373,482,32,13,524.24,ACTIVA
34366,2025-06-14 06:55:35.439648,772,75,5,1009.27,ACTIVA
34367,2025-05-09 11:19:25.067621,460,22,10,997.48,ANULADA
34368,2025-08-17 05:59:15.39859,12,17,13,518.13,ACTIVA
34369,2025-04-20 13:34:30.710491,580,60,11,387.39,ACTIVA
34370,2025-05-27 05:06:43.388463,950,41,6,915.95,ACTIVA
34371,2025-03-11 12:57:28.745179,164,10,12,453.51,ACTIVA
34372,2025-07-26 17:48:38.949781,876,32,8,470.10,ACTIVA
34373,2025-08-04 05:16:38.210997,484,26,8,357.57,ACTIVA
34374,2025-03-21 15:12:03.505998,849,40,9,185.65,ACTIVA
34375,2025-08-29 01:37:53.344742,973,38,13,200.78,ACTIVA
34376,2025-05-23 23:18:08.967789,722,20,8,380.16,ACTIVA
34377,2025-04-23 17:16:18.617886,486,42,7,680.77,ACTIVA
34378,2025-04-06 12:47:39.801796,157,45,4,117.43,ACTIVA
34379,2025-05-23 08:47:05.279831,780,24,5,794.63,ACTIVA
34380,2025-04-09 09:20:16.556496,664,9,15,1024.42,ACTIVA
34381,2025-06-07 01:25:57.146296,65,48,7,729.83,ACTIVA
34382,2025-04-22 06:02:56.457393,981,19,6,182.83,ACTIVA
34383,2025-08-25 02:01:34.466462,958,45,5,474.09,ACTIVA
34384,2025-08-13 06:00:46.350112,324,30,3,371.00,ACTIVA
34385,2025-07-20 11:38:27.258015,635,24,8,913.31,ACTIVA
34386,2025-06-18 22:51:48.334305,900,73,9,414.20,ACTIVA
