id_producto,nombre,descripcion,id_categoria,id_proveedor,precio_compra,precio_venta,stock_minimo,estado
42,Sofá 3 Plazas 42,Producto de la categoría asignada,2,49,474.50,784.63,5,1
43,Bicicleta Montaña 43,Producto de la categoría asignada,6,48,66.13,201.07,9,1
44,Celular Samsung 44,Producto de la categoría asignada,8,23,266.37,806.26,5,1
45,Refrigeradora LG 45,Producto de la categoría asignada,5,35,450.44,901.34,9,1
46,Camiseta Deportiva 46,Producto de la categoría asignada,3,40,453.12,721.45,1,1
47,Laptop Lenovo 47,Producto de la categoría asignada,4,22,505.65,896.18,10,1
48,Bicicleta Montaña 48,Producto de la categoría asignada,2,29,537.50,452.73,9,1
49,Monitor LG 49,Producto de la categoría asignada,7,19,235.00,633.77,6,1
50,Bicicleta Montaña 50,Producto de la categoría asignada,8,33,196.20,189.63,2,1
51,Leche Gloria 51,Producto de la categoría asignada,4,14,92.62,171.54,10,1
52,Camiseta Deportiva 52,Producto de la categoría asignada,2,47,509.74,416.16,6,1
53,Camiseta Deportiva 53,Producto de la categoría asignada,3,21,338.39,680.15,10,1
54,Lego City 54,Producto de la categoría asignada,7,41,439.81,936.89,8,1
55,Celular Samsung 55,Producto de la categoría asignada,6,48,247.79,545.56,2,1
56,Camiseta Deportiva 56,Producto de la categoría asignada,6,9,543.55,427.15,9,1
57,Laptop Lenovo 57,Producto de la categoría asignada,7,18,100.34,490.72,9,1
58,Leche Gloria 58,Producto de la categoría asignada,3,48,463.34,833.98,1,1
59,Bicicleta Montaña 59,Producto de la categoría asignada,2,32,174.03,888.25,11,1
60,Monitor LG 60,Producto de la categoría asignada,5,16,515.99,720.77,6,1
61,Bicicleta Montaña 61,Producto de la categoría asignada,5,28,61.74,843.29,7,1
62,Leche Gloria 62,Producto de la categoría asignada,1,14,285.92,110.27,9,1
63,Laptop Lenovo 63,Producto de la categoría asignada,1,48,321.30,132.00,4,1
64,Camiseta Deportiva 64,Producto de la categoría asignada,7,7,270.02,591.64,2,1
65,Laptop Lenovo 65,Producto de la categoría asignada,4,20,387.90,973.16,9,1
66,Sofá 3 Plazas 66,Producto de la categoría asignada,8,9,178.96,697.48,9,1
67,Sofá 3 Plazas 67,Producto de la categoría asignada,3,19,296.85,447.86,7,1
68,Camiseta Deportiva 68,Producto de la categoría asignada,2,26,494.82,800.40,4,1
69,Celular Samsung 69,Producto de la categoría asignada,5,16,483.36,876.37,5,1
70,Sofá 3 Plazas 70,Producto de la categoría asignada,3,22,408.61,801.34,2,1
71,Laptop Lenovo 71,Producto de la categoría asignada,2,49,496.71,517.25,5,1
72,Laptop Lenovo 72,Producto de la categoría asignada,4,3,193.72,327.82,2,1
73,Lego City 73,Producto de la categoría asignada,5,11,203.44,803.16,10,1
74,Leche Gloria 74,Producto de la categoría asignada,5,8,429.43,900.33,4,1
75,Refrigeradora LG 75,Producto de la categoría asignada,3,31,505.43,617.32,4,1
76,Leche Gloria 76,Producto de la categoría asignada,6,49,267.74,632.39,11,1
77,Laptop Lenovo 77,Producto de la categoría asignada,4,35,264.08,388.56,4,1
78,Laptop Lenovo 78,Producto de la categoría asignada,2,39,454.64,105.01,3,1
79,Lego City 79,Producto de la categoría asignada,4,26,515.30,848.05,3,1
80,Zapatillas Nike 80,Producto de la categoría asignada,6,17,423.12,137.90,9,1
81,Leche Gloria 81,Producto de la categoría asignada,3,46,246.50,366.00,5,1
82,Camiseta Deportiva 82,Producto de la categoría asignada,7,46,216.59,156.50,6,1
83,Laptop Lenovo 83,Producto de la categoría asignada,4,32,155.45,130.01,6,1
84,Zapatillas Nike 84,Producto de la categoría asignada,3,27,445.46,810.78,11,1
85,Celular Samsung 85,Producto de la categoría asignada,3,31,460.06,258.93,10,1
86,Leche Gloria 86,Producto de la categoría asignada,4,25,521.37,756.73,3,1
87,Leche Gloria 87,Producto de la categoría asignada,2,48,512.53,796.02,6,1
88,Lego City 88,Producto de la categoría asignada,7,47,212.19,234.15,10,1
89,Zapatillas Nike 89,Producto de la categoría asignada,1,8,229.77,399.54,5,1
90,Sofá 3 Plazas 90,Producto de la categoría asignada,6,47,534.08,488.87,3,1
91,Monitor LG 91,Producto de la categoría asignada,1,45,112.35,722.03,7,1
92,Lego City 92,Producto de la categoría asignada,1,49,228.54,534.91,3,1
93,Lego City 93,Producto de la categoría asignada,4,27,379.84,935.08,9,1
94,Refrigeradora LG 94,Producto de la categoría asignada,8,18,436.78,265.26,5,1
95,Celular Samsung 95,Producto de la categoría asignada,5,37,477.58,618.99,6,1
96,Bicicleta Montaña 96,Producto de la categoría asignada,3,48,191.77,190.51,4,1
97,Lego City 97,Producto de la categoría asignada,6,41,410.67,467.05,5,1
98,Sofá 3 Plazas 98,Producto de la categoría asignada,1,32,384.17,679.09,9,1
99,Sofá 3 Plazas 99,Producto de la categoría asignada,4,2,549.74,701.00,5,1
100,Refrigeradora LG 100,Producto de la categoría asignada,3,6,298.07,502.85,6,1
101,Refrigeradora LG 101,Producto de la categoría asignada,2,10,500.40,776.38,5,1
102,Leche Gloria 102,Producto de la categoría asignada,2,30,235.93,236.32,3,1
103,Refrigeradora LG 103,Producto de la categoría asignada,7,19,84.87,245.02,10,1
104,Leche Gloria 104,Producto de la categoría asignada,3,1,315.92,436.13,9,1
105,Celular Samsung 105,Producto de la categoría asignada,8,29,101.03,376.39,8,1
106,Monitor LG 106,Producto de la categoría asignada,5,20,524.77,387.49,3,1
107,Celular Samsung 107,Producto de la categoría asignada,2,6,441.95,969.95,8,1
108,Lego City 108,Producto de la categoría asignada,6,41,421.89,620.06,2,1
109,Leche Gloria 109,Producto de la categoría asignada,4,18,106.19,653.44,11,1
110,Bicicleta Montaña 110,Producto de la categoría asignada,7,22,221.08,488.71,3,1
111,Laptop Lenovo 111,Producto de la categoría asignada,3,18,87.87,639.88,3,1
112,Refrigeradora LG 112,Producto de la categoría asignada,3,42,359.31,942.08,6,1
113,Refrigeradora LG 113,Producto de la categoría asignada,6,39,498.39,830.10,5,1
114,Leche Gloria 114,Producto de la categoría asignada,4,6,103.96,160.64,8,1
115,Refrigeradora LG 115,Producto de la categoría asignada,4,13,356.89,650.50,3,1
116,Monitor LG 116,Producto de la categoría asignada,7,14,277.13,192.95,4,1
117,Leche Gloria 117,Producto de la categoría asignada,2,22,343.99,542.73,3,1
118,Sofá 3 Plazas 118,Producto de la categoría asignada,4,30,334.19,599.69,5,1
119,Sofá 3 Plazas 119,Producto de la categoría asignada,5,3,353.94,701.33,10,1
120,Bicicleta Montaña 120,Producto de la categoría asignada,2,21,302.07,244.70,6,1
121,Bicicleta Montaña 121,Producto de la categoría asignada,3,42,426.85,365.15,9,1
122,Monitor LG 122,Producto de la categoría asignada,6,14,173.28,530.32,2,1
123,Zapatillas Nike 123,Producto de la categoría asignada,1,1,347.15,897.34,5,1
124,Refrigeradora LG 124,Producto de la categoría asignada,2,18,139.73,597.16,4,1
125,Zapatillas Nike 125,Producto de la categoría asignada,3,15,480.75,839.35,11,1
126,Zapatillas Nike 126,Producto de la categoría asignada,2,45,300.46,282.37,1,1
127,Camiseta Deportiva 127,Producto de la categoría asignada,2,18,77.98,368.95,4,1
128,Sofá 3 Plazas 128,Producto de la categoría asignada,4,12,413.53,370.12,9,1
129,Laptop Lenovo 129,Producto de la categoría asignada,2,4,88.58,752.07,10,1
130,Lego City 130,Producto de la categoría asignada,7,47,125.15,406.83,4,1
131,Bicicleta Montaña 131,Producto de la categoría asignada,4,24,332.03,427.52,9,1
132,Bicicleta Montaña 132,Producto de la categoría asignada,6,7,343.23,149.92,11,1
133,Bicicleta Montaña 133,Producto de la categoría asignada,4,37,524.83,397.51,9,1
134,Celular Samsung 134,Producto de la categoría asignada,2,6,469.69,986.82,6,1
135,Leche Gloria 135,Producto de la categoría asignada,4,17,322.09,797.63,11,1
136,Leche Gloria 136,Producto de la categoría asignada,6,18,470.67,319.85,10,1
137,Leche Gloria 137,Producto de la categoría asignada,5,26,293.85,151.19,5,1
138,Lego City 138,Producto de la categoría asignada,8,47,261.94,419.37,11,1
139,Celular Samsung 139,Producto de la categoría asignada,1,49,51.15,587.44,5,1
140,Refrigeradora LG 140,Producto de la categoría asignada,2,24,515.56,764.79,1,1
141,Lego City 141,Producto de la categoría asignada,5,48,127.66,979.52,5,1
142,Laptop Lenovo 142,Producto de la categoría asignada,2,27,280.26,523.74,8,1
143,Sofá 3 Plazas 143,Producto de la categoría asignada,2,8,415.35,279.01,2,1
144,Lego City 144,Producto de la categoría asignada,7,26,201.56,797.50,1,1
145,Camiseta Deportiva 145,Producto de la categoría asignada,2,14,441.60,761.03,11,1
146,Laptop Lenovo 146,Producto de la categoría asignada,5,21,79.16,170.17,9,1
147,Monitor LG 147,Producto de la categoría asignada,5,45,288.25,171.18,8,1
148,Monitor LG 148,Producto de la categoría asignada,7,8,475.19,719.34,10,1
149,Bicicleta Montaña 149,Producto de la categoría asignada,4,28,265.95,956.10,8,1
150,Lego City 150,Producto de la categoría asignada,2,42,497.30,833.74,6,1
151,Bicicleta Montaña 151,Producto de la categoría asignada,2,44,203.25,356.07,9,1
152,Zapatillas Nike 152,Producto de la categoría asignada,2,20,88.98,392.77,8,1
153,Bicicleta Montaña 153,Producto de la categoría asignada,3,39,362.90,908.45,10,1
154,Bicicleta Montaña 154,Producto de la categoría asignada,7,12,541.87,142.06,8,1
155,Lego City 155,Producto de la categoría asignada,2,16,77.29,806.50,7,1
156,Sofá 3 Plazas 156,Producto de la categoría asignada,7,18,369.35,617.00,9,1
157,Laptop Lenovo 157,Producto de la categoría asignada,4,44,356.60,508.57,7,1
158,Bicicleta Montaña 158,Producto de la categoría asignada,4,8,275.74,320.43,2,1
159,Zapatillas Nike 159,Producto de la categoría asignada,7,49,200.09,286.24,3,1
160,Zapatillas Nike 160,Producto de la categoría asignada,4,41,409.29,336.34,5,1
161,Leche Gloria 161,Producto de la categoría asignada,2,6,184.49,984.87,2,1
162,Refrigeradora LG 162,Producto de la categoría asignada,5,30,421.61,860.13,2,1
163,Leche Gloria 163,Producto de la categoría asignada,2,15,326.42,673.86,7,1
164,Refrigeradora LG 164,Producto de la categoría asignada,7,29,222.53,959.89,8,1
165,Sofá 3 Plazas 165,Producto de la categoría asignada,2,9,493.44,919.59,6,1
166,Bicicleta Montaña 166,Producto de la categoría asignada,6,29,274.64,983.80,1,1
167,Monitor LG 167,Producto de la categoría asignada,5,27,346.54,437.23,7,1
168,Bicicleta Montaña 168,Producto de la categoría asignada,5,34,371.43,947.81,3,1
169,Bicicleta Montaña 169,Producto de la categoría asignada,3,28,417.22,711.40,10,1
170,Bicicleta Montaña 170,Producto de la categoría asignada,4,37,260.21,830.08,9,1
171,Bicicleta Montaña 171,Producto de la categoría asignada,4,22,354.94,858.96,3,1
172,Sofá 3 Plazas 172,Producto de la categoría asignada,6,19,270.56,762.38,8,1
173,Sofá 3 Plazas 173,Producto de la categoría asignada,4,43,153.59,297.46,5,1
174,Refrigeradora LG 174,Producto de la categoría asignada,8,32,75.89,313.96,5,1
175,Zapatillas Nike 175,Producto de la categoría asignada,5,46,218.56,719.10,10,1
176,Zapatillas Nike 176,Producto de la categoría asignada,6,43,339.00,784.02,7,1
177,Monitor LG 177,Producto de la categoría asignada,5,22,388.29,788.67,6,1
178,Sofá 3 Plazas 178,Producto de la categoría asignada,6,14,334.17,213.77,5,1
179,Zapatillas Nike 179,Producto de la categoría asignada,7,14,426.12,599.13,3,1
180,Camiseta Deportiva 180,Producto de la categoría asignada,6,11,538.67,430.47,5,1
181,Bicicleta Montaña 181,Producto de la categoría asignada,5,43,521.83,437.65,8,1
182,Celular Samsung 182,Producto de la categoría asignada,7,49,114.97,776.49,7,1
183,Refrigeradora LG 183,Producto de la categoría asignada,2,45,322.15,569.98,6,1
184,Camiseta Deportiva 184,Producto de la categoría asignada,7,39,482.98,316.14,10,1
185,Celular Samsung 185,Producto de la categoría asignada,6,39,292.26,533.75,3,1
186,Monitor LG 186,Producto de la categoría asignada,2,48,331.61,204.52,2,1
187,Monitor LG 187,Producto de la categoría asignada,3,27,355.75,544.20,2,1
188,Sofá 3 Plazas 188,Producto de la categoría asignada,4,7,468.94,276.04,10,1
189,Sofá 3 Plazas 189,Producto de la categoría asignada,8,33,208.00,281.50,3,1
190,Leche Gloria 190,Producto de la categoría asignada,8,6,324.86,568.71,10,1
191,Refrigeradora LG 191,Producto de la categoría asignada,5,5,138.12,787.65,3,1
192,Leche Gloria 192,Producto de la categoría asignada,5,46,518.08,842.30,7,1
193,Zapatillas Nike 193,Producto de la categoría asignada,4,35,213.02,248.54,2,1
194,Leche Gloria 194,Producto de la categoría asignada,5,44,173.58,379.23,11,1
195,Monitor LG 195,Producto de la categoría asignada,5,10,131.01,743.31,9,1
196,Camiseta Deportiva 196,Producto de la categoría asignada,8,27,113.03,348.98,10,1
197,Lego City 197,Producto de la categoría asignada,6,14,284.34,634.05,3,1
198,Bicicleta Montaña 198,Producto de la categoría asignada,3,21,93.99,626.03,9,1
199,Camiseta Deportiva 199,Producto de la categoría asignada,1,7,256.09,737.37,10,1
200,Refrigeradora LG 200,Producto de la categoría asignada,3,34,520.76,733.75,8,1
201,Monitor LG 201,Producto de la categoría asignada,7,42,54.41,800.40,2,1
202,Monitor LG 202,Producto de la categoría asignada,6,26,419.73,100.77,6,1
203,Laptop Lenovo 203,Producto de la categoría asignada,5,24,472.15,140.19,5,1
204,Celular Samsung 204,Producto de la categoría asignada,4,44,530.77,658.04,4,1
205,Sofá 3 Plazas 205,Producto de la categoría asignada,6,24,486.51,968.67,8,1
206,Bicicleta Montaña 206,Producto de la categoría asignada,4,17,52.06,992.39,5,1
207,Bicicleta Montaña 207,Producto de la categoría asignada,6,44,366.25,416.25,6,1
208,Zapatillas Nike 208,Producto de la categoría asignada,6,16,132.15,407.69,3,1
209,Lego City 209,Producto de la categoría asignada,2,48,144.50,102.24,6,1
210,Leche Gloria 210,Producto de la categoría asignada,7,33,134.73,730.75,9,1
211,Camiseta Deportiva 211,Producto de la categoría asignada,8,49,67.12,115.68,1,1
212,Laptop Lenovo 212,Producto de la categoría asignada,8,22,423.41,651.46,9,1
213,Zapatillas Nike 213,Producto de la categoría asignada,5,8,463.69,722.14,3,1
214,Laptop Lenovo 214,Producto de la categoría asignada,4,28,255.11,259.07,4,1
215,Bicicleta Montaña 215,Producto de la categoría asignada,1,21,230.40,514.92,11,1
216,Camiseta Deportiva 216,Producto de la categoría asignada,4,45,307.70,664.39,2,1
217,Bicicleta Montaña 217,Producto de la categoría asignada,4,39,136.30,660.94,9,1
218,Monitor LG 218,Producto de la categoría asignada,3,48,408.70,611.66,8,1
219,Refrigeradora LG 219,Producto de la categoría asignada,4,35,259.84,550.10,2,1
220,Laptop Lenovo 220,Producto de la categoría asignada,2,17,350.07,141.17,1,1
221,Zapatillas Nike 221,Producto de la categoría asignada,6,15,230.07,421.66,3,1
222,Zapatillas Nike 222,Producto de la categoría asignada,3,41,115.78,560.36,3,1
223,Celular Samsung 223,Producto de la categoría asignada,8,15,503.59,271.38,10,1
224,Laptop Lenovo 224,Producto de la categoría asignada,5,18,84.66,886.25,9,1
225,Monitor LG 225,Producto de la categoría asignada,7,1,212.04,854.79,6,1
226,Laptop Lenovo 226,Producto de la categoría asignada,3,21,155.30,511.79,3,1
227,Camiseta Deportiva 227,Producto de la categoría asignada,7,45,444.22,987.41,8,1
228,Refrigeradora LG 228,Producto de la categoría asignada,7,30,280.38,404.88,11,1
229,Bicicleta Montaña 229,Producto de la categoría asignada,2,16,82.21,225.43,5,1
230,Laptop Lenovo 230,Producto de la categoría asignada,1,9,258.95,683.72,2,1
231,Celular Samsung 231,Producto de la categoría asignada,6,10,518.19,377.84,2,1
232,Leche Gloria 232,Producto de la categoría asignada,3,46,545.81,287.32,11,1
233,Camiseta Deportiva 233,Producto de la categoría asignada,6,19,221.61,284.87,7,1
234,Monitor LG 234,Producto de la categoría asignada,2,46,399.12,397.70,3,1
235,Zapatillas Nike 235,Producto de la categoría asignada,8,37,243.68,381.36,2,1
236,Bicicleta Montaña 236,Producto de la categoría asignada,5,37,363.92,134.65,10,1
237,Bicicleta Montaña 237,Producto de la categoría asignada,5,7,356.01,311.12,6,1
238,Laptop Lenovo 238,Producto de la categoría asignada,4,17,398.28,364.17,6,1
239,Zapatillas Nike 239,Producto de la categoría asignada,6,16,50.88,989.60,8,1
240,Lego City 240,Producto de la categoría asignada,5,26,371.41,536.32,2,1
241,Zapatillas Nike 241,Producto de la categoría asignada,3,44,203.91,109.62,11,1
242,Refrigeradora LG 242,Producto de la categoría asignada,2,21,71.72,248.96,7,1
243,Laptop Lenovo 243,Producto de la categoría asignada,2,22,424.63,377.07,4,1
244,Celular Samsung 244,Producto de la categoría asignada,5,6,328.39,947.62,5,1
245,Laptop Lenovo 245,Producto de la categoría asignada,8,4,437.06,912.66,3,1
246,Celular Samsung 246,Producto de la categoría asignada,3,34,290.60,174.92,9,1
247,Zapatillas Nike 247,Producto de la categoría asignada,7,44,517.08,816.68,9,1
248,Lego City 248,Producto de la categoría asignada,3,27,106.97,185.90,6,1
249,Lego City 249,Producto de la categoría asignada,2,34,209.38,763.46,2,1
250,Laptop Lenovo 250,Producto de la categoría asignada,1,40,520.12,689.06,10,1
251,Monitor LG 251,Producto de la categoría asignada,1,25,70.90,543.41,3,1
252,Monitor LG 252,Producto de la categoría asignada,2,29,164.70,710.18,10,1
253,Monitor LG 253,Producto de la categoría asignada,2,35,316.07,381.22,4,1
254,Leche Gloria 254,Producto de la categoría asignada,7,48,380.92,143.38,8,1
255,Zapatillas Nike 255,Producto de la categoría asignada,3,35,400.75,362.12,4,1
256,Zapatillas Nike 256,Producto de la categoría asignada,3,46,468.64,127.80,6,1
257,Bicicleta Montaña 257,Producto de la categoría asignada,8,38,265.68,604.28,3,1
258,Bicicleta Montaña 258,Producto de la categoría asignada,7,13,513.94,694.33,9,1
259,Leche Gloria 259,Producto de la categoría asignada,4,16,261.91,315.46,11,1
260,Camiseta Deportiva 260,Producto de la categoría asignada,4,24,394.11,948.53,2,1
261,Celular Samsung 261,Producto de la categoría asignada,2,24,260.87,149.59,10,1
262,Bicicleta Montaña 262,Producto de la categoría asignada,3,7,439.50,611.52,1,1
263,Lego City 263,Producto de la categoría asignada,4,8,396.23,445.33,5,1
264,Sofá 3 Plazas 264,Producto de la categoría asignada,2,32,310.17,319.53,9,1
265,Leche Gloria 265,Producto de la categoría asignada,4,34,233.72,786.34,8,1
266,Refrigeradora LG 266,Producto de la categoría asignada,3,50,272.47,430.71,4,1
267,Lego City 267,Producto de la categoría asignada,5,40,297.73,619.62,11,1
268,Refrigeradora LG 268,Producto de la categoría asignada,6,26,143.87,416.68,4,1
269,Refrigeradora LG 269,Producto de la categoría asignada,6,14,297.15,874.52,7,1
270,Sofá 3 Plazas 270,Producto de la categoría asignada,5,1,328.25,968.64,9,1
271,Celular Samsung 271,Producto de la categoría asignada,7,35,342.22,225.30,9,1
272,Monitor LG 272,Producto de la categoría asignada,4,16,204.58,334.39,4,1
273,Celular Samsung 273,Producto de la categoría asignada,6,43,191.23,767.48,5,1
274,Zapatillas Nike 274,Producto de la categoría asignada,3,10,81.77,521.06,7,1
275,Laptop Lenovo 275,Producto de la categoría asignada,5,7,510.70,774.31,3,1
276,Laptop Lenovo 276,Producto de la categoría asignada,5,29,59.63,662.71,2,1
277,Zapatillas Nike 277,Producto de la categoría asignada,2,34,54.16,431.17,10,1
278,Refrigeradora LG 278,Producto de la categoría asignada,4,17,304.75,603.98,4,1
279,Laptop Lenovo 279,Producto de la categoría asignada,5,39,309.63,507.48,4,1
280,Laptop Lenovo 280,Producto de la categoría asignada,3,16,155.94,901.14,10,1
281,Bicicleta Montaña 281,Producto de la categoría asignada,7,34,501.45,356.04,11,1
282,Laptop Lenovo 282,Producto de la categoría asignada,2,32,419.20,374.26,2,1
283,Leche Gloria 283,Producto de la categoría asignada,5,19,354.61,989.15,2,1
284,Bicicleta Montaña 284,Producto de la categoría asignada,4,26,425.44,294.54,9,1
285,Monitor LG 285,Producto de la categoría asignada,2,8,383.25,606.76,10,1
286,Lego City 286,Producto de la categoría asignada,5,41,216.57,555.77,7,1
287,Sofá 3 Plazas 287,Producto de la categoría asignada,3,3,93.44,518.59,4,1
288,Camiseta Deportiva 288,Producto de la categoría asignada,8,44,161.41,370.60,7,1
289,Bicicleta Montaña 289,Producto de la categoría asignada,1,33,248.13,108.62,10,1
290,Sofá 3 Plazas 290,Producto de la categoría asignada,3,32,307.75,250.34,6,1
291,Camiseta Deportiva 291,Producto de la categoría asignada,7,15,391.05,737.74,5,1
292,Monitor LG 292,Producto de la categoría asignada,4,3,111.31,109.09,4,1
293,Monitor LG 293,Producto de la categoría asignada,2,37,203.48,374.60,8,1
294,Leche Gloria 294,Producto de la categoría asignada,8,48,140.30,875.29,3,1
295,Refrigeradora LG 295,Producto de la categoría asignada,3,33,244.85,761.63,7,1
296,Sofá 3 Plazas 296,Producto de la categoría asignada,3,17,187.04,878.62,6,1
297,Celular Samsung 297,Producto de la categoría asignada,5,5,202.96,237.24,2,1
298,Monitor LG 298,Producto de la categoría asignada,1,39,216.93,345.47,7,1
299,Celular Samsung 299,Producto de la categoría asignada,2,38,269.48,166.36,3,1
300,Monitor LG 300,Producto de la categoría asignada,6,8,256.75,354.32,5,1
301,Leche Gloria 301,Producto de la categoría asignada,4,23,534.60,449.36,6,1
302,Lego City 302,Producto de la categoría asignada,6,3,339.05,533.82,7,1
303,Refrigeradora LG 303,Producto de la categoría asignada,6,2,286.84,643.03,6,1
304,Bicicleta Montaña 304,Producto de la categoría asignada,4,38,384.02,601.56,9,1
305,Refrigeradora LG 305,Producto de la categoría asignada,1,32,185.60,758.83,8,1
306,Bicicleta Montaña 306,Producto de la categoría asignada,5,11,473.01,193.30,2,1
307,Lego City 307,Producto de la categoría asignada,5,2,469.58,307.90,10,1
308,Camiseta Deportiva 308,Producto de la categoría asignada,4,16,297.79,291.03,5,1
309,Bicicleta Montaña 309,Producto de la categoría asignada,3,2,506.64,651.51,8,1
310,Refrigeradora LG 310,Producto de la categoría asignada,1,19,95.56,813.65,8,1
311,Monitor LG 311,Producto de la categoría asignada,5,11,316.11,416.56,2,1
312,Refrigeradora LG 312,Producto de la categoría asignada,6,18,229.90,112.60,3,1
313,Bicicleta Montaña 313,Producto de la categoría asignada,3,16,485.12,717.33,4,1
314,Celular Samsung 314,Producto de la categoría asignada,3,25,240.41,554.91,2,1
315,Bicicleta Montaña 315,Producto de la categoría asignada,8,43,420.00,506.98,1,1
316,Leche Gloria 316,Producto de la categoría asignada,4,25,377.30,888.13,7,1
317,Camiseta Deportiva 317,Producto de la categoría asignada,1,20,214.43,274.44,2,1
318,Monitor LG 318,Producto de la categoría asignada,5,38,347.89,841.98,3,1
319,Celular Samsung 319,Producto de la categoría asignada,1,34,221.63,379.13,7,1
320,Monitor LG 320,Producto de la categoría asignada,4,5,417.02,621.86,5,1
321,Zapatillas Nike 321,Producto de la categoría asignada,5,2,463.03,411.23,1,1
322,Refrigeradora LG 322,Producto de la categoría asignada,2,35,441.00,474.62,1,1
323,Laptop Lenovo 323,Producto de la categoría asignada,3,35,472.80,700.53,3,1
324,Monitor LG 324,Producto de la categoría asignada,5,46,495.81,162.30,8,1
325,Sofá 3 Plazas 325,Producto de la categoría asignada,5,1,546.10,131.28,4,1
326,Camiseta Deportiva 326,Producto de la categoría asignada,7,16,510.04,955.21,8,1
327,Camiseta Deportiva 327,Producto de la categoría asignada,6,18,408.01,187.88,5,1
328,Refrigeradora LG 328,Producto de la categoría asignada,5,34,122.84,800.26,8,1
329,Camiseta Deportiva 329,Producto de la categoría asignada,3,24,96.39,690.69,9,1
330,Laptop Lenovo 330,Producto de la categoría asignada,3,5,442.75,701.22,6,1
331,Celular Samsung 331,Producto de la categoría asignada,1,33,194.39,257.61,6,1
332,Monitor LG 332,Producto de la categoría asignada,6,37,474.50,557.76,11,1
333,Monitor LG 333,Producto de la categoría asignada,5,7,281.10,903.36,5,1
334,Leche Gloria 334,Producto de la categoría asignada,4,32,393.60,648.62,5,1
335,Bicicleta Montaña 335,Producto de la categoría asignada,4,43,403.19,889.33,5,1
336,Celular Samsung 336,Producto de la categoría asignada,5,49,404.89,666.48,7,1
337,Camiseta Deportiva 337,Producto de la categoría asignada,5,2,379.35,432.35,6,1
