id_detalle,id_venta,id_producto,cantidad,precio_unitario,subtotal
7667,1657,150,5,80.55,402.75
7668,1059,5,1,55.20,55.20
7669,1206,252,6,58.42,350.52
7670,508,35,5,134.00,670.00
7671,1180,85,5,177.90,889.50
7672,1017,386,3,133.86,401.58
7673,879,495,5,182.23,911.15
7674,280,217,3,255.71,767.13
7675,843,97,3,62.50,187.50
7676,136,379,6,86.49,518.94
7677,202,205,3,286.45,859.35
7678,1190,33,4,116.31,465.24
7679,1665,18,5,206.96,1034.80
7680,594,416,3,145.55,436.65
7681,1860,225,5,152.83,764.15
7682,871,464,1,251.45,251.45
7683,639,342,5,93.86,469.30
7684,367,236,6,233.41,1400.46
7685,843,26,3,226.84,680.52
7686,838,269,2,171.05,342.10
7687,1387,412,3,264.06,792.18
7688,1448,427,5,224.71,1123.55
7689,117,60,5,220.62,1103.10
7690,904,145,1,309.03,309.03
7691,1160,276,2,191.59,383.18
7692,230,361,4,253.45,1013.80
7693,996,499,2,178.54,357.08
7694,1449,419,4,93.85,375.40
7695,588,123,4,295.42,1181.68
7696,334,374,6,81.83,490.98
7697,118,362,3,196.27,588.81
7698,76,112,4,90.38,361.52
7699,414,199,3,176.42,529.26
7700,790,359,4,300.43,1201.72
7701,1273,183,4,183.03,732.12
7702,572,144,2,112.85,225.70
7703,1142,214,3,148.71,446.13
7704,1114,118,1,216.70,216.70
7705,1071,299,3,188.66,565.98
7706,1201,14,2,141.59,283.18
7707,621,248,2,220.47,440.94
7708,1772,74,3,114.27,342.81
7709,1531,6,4,167.08,668.32
7710,1481,484,3,133.27,399.81
7711,838,300,4,209.31,837.24
7712,1247,152,2,69.21,138.42
7713,1547,8,3,57.50,172.50
7714,1963,301,5,219.67,1098.35
7715,453,315,4,185.73,742.92
7716,1211,404,3,279.90,839.70
7717,76,264,3,184.15,552.45
7718,348,46,5,31.13,155.65
7719,163,172,3,96.22,288.66
7720,1990,167,1,295.27,295.27
7721,854,343,5,128.25,641.25
7722,1877,301,3,224.63,673.89
7723,1193,285,2,192.32,384.64
7724,796,454,4,211.72,846.88
7725,807,248,3,288.63,865.89
7726,910,336,3,102.73,308.19
7727,1574,309,4,86.89,347.56
7728,763,130,5,248.02,1240.10
7729,1034,286,6,191.11,1146.66
7730,1490,34,3,261.63,784.89
7731,373,162,4,265.38,1061.52
7732,236,197,4,162.48,649.92
7733,1428,25,3,147.08,441.24
7734,1596,77,2,217.67,435.34
7735,1660,267,4,194.42,777.68
7736,644,1,3,140.47,421.41
7737,1630,379,4,249.42,997.68
7738,1136,105,3,203.76,611.28
7739,5,386,5,297.66,1488.30
7740,171,260,1,101.04,101.04
7741,1725,279,6,94.30,565.80
7742,1111,235,3,110.68,332.04
7743,421,461,5,74.28,371.40
7744,1456,227,6,279.63,1677.78
7745,300,369,2,87.27,174.54
7746,1015,495,4,224.24,896.96
7747,1746,235,3,185.68,557.04
7748,1014,271,3,218.36,655.08
7749,602,367,3,235.62,706.86
7750,1266,213,3,24.99,74.97
7751,1193,122,3,105.27,315.81
7752,765,19,2,136.18,272.36
7753,1183,332,5,48.13,240.65
7754,1420,444,2,68.66,137.32
7755,1716,110,3,244.06,732.18
7756,905,475,2,269.56,539.12
7757,1989,321,3,106.66,319.98
7758,1853,111,4,74.97,299.88
7759,1515,127,4,230.99,923.96
7760,1742,367,3,110.66,331.98
7761,317,130,1,223.01,223.01
7762,1247,93,4,124.72,498.88
7763,678,49,5,125.35,626.75
7764,1684,49,4,180.81,723.24
7765,1959,375,5,91.44,457.20
7766,1468,326,6,55.72,334.32
7767,100,386,3,298.26,894.78
7768,1428,406,2,177.59,355.18
7769,848,302,4,152.39,609.56
7770,1425,242,4,128.86,515.44
7771,61,77,4,17.16,68.64
7772,656,13,2,255.33,510.66
7773,1121,486,5,50.49,252.45
7774,1264,78,6,31.68,190.08
7775,1602,283,2,136.23,272.46
7776,1104,361,6,247.17,1483.02
7777,421,416,4,207.06,828.24
7778,1396,48,4,25.38,101.52
7779,714,389,2,162.50,325.00
7780,1070,487,4,174.87,699.48
7781,1756,161,5,204.77,1023.85
7782,1064,451,5,278.00,1390.00
7783,1532,380,6,158.28,949.68
7784,358,170,2,27.45,54.90
7785,1259,404,6,264.09,1584.54
7786,1285,169,2,272.78,545.56
7787,1001,108,3,207.74,623.22
7788,1865,397,5,123.01,615.05
7789,452,253,6,193.41,1160.46
7790,1562,11,2,167.68,335.36
7791,550,479,2,163.95,327.90
7792,1091,13,6,177.83,1066.98
7793,1586,286,6,228.01,1368.06
7794,868,397,2,257.13,514.26
7795,1648,16,5,49.38,246.90
7796,1573,402,1,100.59,100.59
7797,133,405,1,304.78,304.78
7798,663,330,2,167.05,334.10
7799,1113,313,2,99.71,199.42
7800,509,174,1,17.39,17.39
7801,771,89,1,39.92,39.92
7802,164,188,4,156.06,624.24
7803,1058,458,2,175.49,350.98
7804,1937,108,5,190.12,950.60
7805,843,10,4,23.56,94.24
7806,1322,58,5,83.31,416.55
7807,1537,397,4,215.99,863.96
7808,697,151,3,295.44,886.32
7809,189,206,5,209.73,1048.65
7810,256,125,3,252.70,758.10
7811,1435,322,3,262.54,787.62
7812,1639,188,5,147.43,737.15
7813,230,146,1,21.39,21.39
7814,1647,404,2,31.63,63.26
7815,1935,90,2,245.69,491.38
7816,840,245,6,68.92,413.52
7817,1180,120,2,120.64,241.28
7818,465,499,4,12.55,50.20
7819,552,302,3,176.22,528.66
7820,150,362,5,55.18,275.90
7821,727,281,6,200.75,1204.50
7822,1742,124,5,80.06,400.30
7823,1611,478,3,240.84,722.52
7824,63,314,2,176.39,352.78
7825,1274,445,2,14.78,29.56
7826,157,262,3,208.80,626.40
7827,1197,109,5,32.73,163.65
7828,410,25,3,165.22,495.66
7829,1714,493,6,163.66,981.96
7830,605,372,2,123.92,247.84
7831,317,380,2,276.93,553.86
7832,46,217,4,45.72,182.88
7833,783,22,2,279.63,559.26
7834,1281,361,6,120.85,725.10
7835,1764,397,2,112.92,225.84
7836,1169,483,3,17.97,53.91
7837,30,366,4,111.33,445.32
7838,1058,474,4,176.12,704.48
7839,1799,72,4,185.71,742.84
7840,937,16,3,242.33,726.99
7841,1321,436,3,95.43,286.29
7842,1627,301,6,29.80,178.80
7843,649,186,2,223.28,446.56
7844,1178,375,2,154.40,308.80
7845,1688,421,2,209.44,418.88
7846,1009,141,6,196.29,1177.74
7847,1307,406,5,97.29,486.45
7848,1135,365,2,11.21,22.42
7849,1328,400,6,47.99,287.94
7850,154,208,5,153.16,765.80
7851,723,282,3,82.18,246.54
7852,237,240,4,219.09,876.36
7853,573,280,2,266.94,533.88
7854,1066,436,3,195.09,585.27
7855,1525,422,6,60.44,362.64
7856,1741,176,2,256.92,513.84
7857,1479,216,5,105.25,526.25
7858,915,389,3,260.99,782.97
7859,1108,284,1,234.85,234.85
7860,1777,203,2,33.26,66.52
7861,1086,273,5,207.54,1037.70
7862,1954,290,3,162.44,487.32
7863,1110,203,5,232.57,1162.85
7864,28,51,5,198.06,990.30
7865,1889,247,2,55.68,111.36
7866,1936,277,6,189.29,1135.74
7867,655,66,2,34.29,68.58
7868,1112,212,5,271.76,1358.80
7869,1986,184,2,79.29,158.58
7870,1938,183,4,71.56,286.24
7871,1393,28,4,89.95,359.80
7872,1100,167,1,231.45,231.45
7873,1867,148,5,16.51,82.55
7874,61,86,5,242.13,1210.65
7875,286,93,4,20.67,82.68
7876,1278,214,6,145.94,875.64
7877,1639,453,5,110.44,552.20
7878,1612,316,5,178.24,891.20
7879,1722,377,4,228.92,915.68
7880,586,55,6,211.40,1268.40
7881,341,140,3,13.89,41.67
7882,731,345,6,178.10,1068.60
7883,1117,234,4,163.54,654.16
7884,22,275,4,71.71,286.84
7885,1232,364,2,184.89,369.78
7886,285,253,2,131.25,262.50
7887,143,217,3,221.97,665.91
7888,1492,319,1,143.69,143.69
7889,439,297,5,78.33,391.65
7890,1423,19,4,239.20,956.80
7891,1084,316,2,306.51,613.02
7892,1166,328,2,272.94,545.88
7893,1192,183,4,263.46,1053.84
7894,105,230,2,190.00,380.00
7895,1482,419,3,97.05,291.15
7896,396,134,2,253.53,507.06
7897,18,114,3,44.74,134.22
7898,1272,174,1,65.20,65.20
7899,1749,376,5,220.68,1103.40
7900,1494,82,6,268.47,1610.82
7901,1510,121,3,76.40,229.20
7902,334,187,6,78.39,470.34
7903,605,203,3,19.16,57.48
7904,1032,110,4,39.00,156.00
7905,227,2,2,239.48,478.96
7906,1138,468,1,77.44,77.44
7907,948,387,5,136.57,682.85
7908,545,112,4,154.91,619.64
7909,1002,410,2,106.73,213.46
7910,585,46,2,271.57,543.14
7911,626,465,2,209.79,419.58
7912,1237,82,5,153.69,768.45
7913,1059,26,6,263.78,1582.68
7914,1470,236,3,226.76,680.28
7915,1872,413,5,238.59,1192.95
7916,1779,249,6,155.07,930.42
7917,1003,124,4,65.77,263.08
7918,1695,32,6,81.68,490.08
7919,79,346,4,123.28,493.12
7920,790,18,2,97.52,195.04
7921,1173,279,3,228.55,685.65
7922,1725,33,6,122.80,736.80
7923,1674,13,5,308.38,1541.90
7924,478,434,5,44.77,223.85
7925,1503,374,3,135.87,407.61
7926,1126,249,4,286.32,1145.28
7927,42,171,4,114.70,458.80
7928,1057,304,4,147.73,590.92
7929,1719,274,3,204.17,612.51
7930,1652,131,3,136.78,410.34
7931,236,398,3,244.19,732.57
7932,871,263,4,267.37,1069.48
7933,1838,466,2,42.51,85.02
7934,1325,454,4,194.60,778.40
7935,1205,164,2,249.40,498.80
7936,410,228,5,82.19,410.95
7937,355,289,4,275.02,1100.08
7938,134,26,5,117.33,586.65
7939,292,161,4,265.56,1062.24
7940,1492,80,5,229.42,1147.10
7941,1020,22,1,166.91,166.91
7942,566,335,5,58.59,292.95
7943,26,457,3,222.63,667.89
7944,587,296,5,158.46,792.30
7945,634,375,2,294.60,589.20
7946,686,417,3,68.01,204.03
7947,754,289,6,196.48,1178.88
7948,799,280,6,109.01,654.06
7949,853,491,5,139.81,699.05
7950,1360,24,3,270.94,812.82
7951,1187,435,4,150.46,601.84
7952,1083,229,5,225.38,1126.90
7953,796,423,2,31.53,63.06
7954,1050,305,1,163.95,163.95
7955,1267,374,2,129.27,258.54
7956,353,437,3,16.65,49.95
7957,467,99,5,242.45,1212.25
7958,1827,174,4,107.32,429.28
7959,270,90,5,14.16,70.80
7960,1606,342,6,304.56,1827.36
7961,565,481,2,144.94,289.88
7962,1630,407,6,160.98,965.88
7963,853,53,3,296.39,889.17
7964,1997,391,4,83.34,333.36
7965,1397,233,5,149.07,745.35
7966,961,434,1,268.03,268.03
7967,551,271,3,101.01,303.03
7968,666,448,5,223.37,1116.85
7969,1230,66,1,192.65,192.65
7970,21,197,3,260.01,780.03
7971,674,72,6,289.14,1734.84
7972,1612,368,1,298.48,298.48
7973,837,99,2,189.09,378.18
7974,1166,413,4,233.06,932.24
7975,695,362,6,21.31,127.86
7976,1316,302,6,228.14,1368.84
7977,610,130,5,85.62,428.10
7978,1565,254,1,13.02,13.02
7979,692,356,6,217.39,1304.34
7980,742,263,6,234.63,1407.78
7981,267,44,2,138.87,277.74
7982,950,437,4,305.23,1220.92
7983,413,260,3,249.26,747.78
7984,452,346,6,222.88,1337.28
7985,1358,63,4,59.52,238.08
7986,1312,235,3,210.70,632.10
7987,1555,261,1,73.36,73.36
7988,255,311,2,21.03,42.06
7989,1357,288,5,93.88,469.40
7990,1076,290,4,95.98,383.92
7991,859,55,5,306.86,1534.30
7992,485,443,2,199.31,398.62
7993,1428,338,3,284.86,854.58
7994,920,477,1,236.87,236.87
7995,110,315,3,295.48,886.44
7996,1527,431,3,300.24,900.72
7997,1447,195,5,268.55,1342.75
7998,467,12,5,237.90,1189.50
7999,1895,321,4,257.04,1028.16
8000,916,227,5,63.03,315.15
8001,625,210,6,51.60,309.60
8002,1262,236,5,55.79,278.95
8003,1752,213,3,161.00,483.00
8004,1793,53,4,144.86,579.44
8005,1341,138,2,155.46,310.92
8006,319,5,4,244.14,976.56
8007,1998,375,5,285.84,1429.20
8008,1763,129,1,33.25,33.25
8009,803,435,3,44.94,134.82
8010,560,146,2,34.97,69.94
8011,1711,194,4,306.81,1227.24
8012,1907,227,1,112.71,112.71
8013,1920,74,4,127.96,511.84
8014,1076,247,4,299.21,1196.84
8015,335,64,5,84.50,422.50
8016,1488,330,3,155.90,467.70
8017,426,495,5,228.34,1141.70
8018,768,377,5,222.15,1110.75
8019,542,18,1,182.82,182.82
8020,1451,211,2,284.99,569.98
8021,672,277,2,103.85,207.70
8022,180,191,6,246.44,1478.64
8023,1728,198,4,56.86,227.44
8024,906,160,2,45.31,90.62
8025,369,87,4,54.64,218.56
8026,1869,157,3,215.05,645.15
8027,481,434,5,113.90,569.50
8028,1631,373,4,285.60,1142.40
8029,229,166,3,221.10,663.30
8030,381,374,6,109.13,654.78
8031,225,52,5,243.94,1219.70
8032,1363,102,4,46.02,184.08
8033,1817,272,3,278.87,836.61
8034,298,87,4,302.96,1211.84
8035,1424,204,2,197.59,395.18
8036,1413,485,6,241.90,1451.40
8037,1139,49,3,304.18,912.54
8038,754,142,3,146.05,438.15
8039,932,173,1,107.00,107.00
8040,583,105,4,254.71,1018.84
8041,206,342,4,115.55,462.20
8042,772,178,3,181.52,544.56
8043,591,54,4,180.27,721.08
8044,313,300,1,233.44,233.44
8045,1129,58,1,268.61,268.61
8046,1738,45,4,175.98,703.92
8047,1961,219,5,120.82,604.10
8048,1305,173,3,291.47,874.41
8049,387,25,5,91.04,455.20
8050,404,177,3,58.27,174.81
8051,763,142,5,44.09,220.45
8052,1656,359,5,256.03,1280.15
8053,1240,72,3,277.67,833.01
8054,478,423,3,72.45,217.35
8055,154,482,2,247.06,494.12
8056,592,448,4,104.65,418.60
8057,661,335,3,69.43,208.29
8058,1222,96,5,294.14,1470.70
8059,1368,312,3,297.35,892.05
8060,895,482,1,271.46,271.46
8061,1369,84,3,153.20,459.60
8062,808,448,4,104.28,417.12
8063,1260,338,3,182.04,546.12
8064,1030,6,1,259.14,259.14
8065,750,310,1,95.12,95.12
8066,61,336,1,251.31,251.31
8067,1849,284,4,38.82,155.28
8068,1065,272,6,118.00,708.00
8069,411,17,5,298.70,1493.50
8070,1164,106,3,134.93,404.79
8071,122,435,3,126.57,379.71
8072,49,386,1,248.74,248.74
8073,1606,84,3,42.51,127.53
8074,1935,431,5,307.07,1535.35
8075,683,19,6,266.13,1596.78
8076,940,496,1,155.46,155.46
8077,1514,116,6,55.93,335.58
8078,913,269,1,12.95,12.95
8079,1703,123,4,286.85,1147.40
8080,152,124,5,269.16,1345.80
8081,497,4,2,94.67,189.34
8082,1528,161,1,57.64,57.64
8083,1489,233,5,227.61,1138.05
8084,95,263,4,183.06,732.24
8085,248,32,5,166.14,830.70
8086,1926,302,5,119.40,597.00
8087,1144,445,2,254.20,508.40
8088,418,186,6,225.37,1352.22
8089,1660,125,6,57.41,344.46
8090,238,139,1,75.14,75.14
8091,860,379,2,277.94,555.88
8092,733,86,3,46.51,139.53
8093,1476,203,2,296.86,593.72
8094,833,338,2,84.35,168.70
8095,1585,29,2,194.97,389.94
8096,756,4,3,307.90,923.70
8097,987,264,2,48.18,96.36
8098,1257,213,5,209.59,1047.95
8099,592,280,5,83.96,419.80
8100,732,199,5,201.71,1008.55
8101,1605,199,6,271.01,1626.06
8102,81,12,1,210.15,210.15
8103,1337,20,6,22.68,136.08
8104,1340,234,1,54.30,54.30
8105,1472,292,4,27.33,109.32
8106,1194,34,4,48.58,194.32
8107,1699,488,1,265.26,265.26
8108,309,427,2,204.95,409.90
8109,639,270,1,84.79,84.79
8110,139,88,5,242.95,1214.75
8111,1091,47,3,182.45,547.35
8112,550,261,3,228.07,684.21
8113,924,251,3,114.90,344.70
8114,1913,478,2,99.84,199.68
8115,1808,330,4,98.02,392.08
8116,301,176,3,32.82,98.46
8117,1861,367,5,43.72,218.60
8118,862,180,5,60.73,303.65
8119,1786,10,1,13.34,13.34
8120,1892,39,5,38.09,190.45
8121,398,50,2,254.68,509.36
8122,242,195,5,61.93,309.65
8123,94,233,3,72.83,218.49
8124,150,474,2,168.68,337.36
8125,1553,265,6,227.23,1363.38
8126,1137,377,3,41.36,124.08
8127,1212,142,4,165.28,661.12
8128,96,414,3,213.01,639.03
8129,1428,389,4,178.45,713.80
8130,993,324,3,274.72,824.16
8131,1735,382,3,115.37,346.11
8132,1202,55,4,138.57,554.28
8133,874,424,5,171.16,855.80
8134,1795,127,4,14.40,57.60
8135,1813,272,2,240.99,481.98
8136,248,31,2,275.42,550.84
8137,1000,85,3,53.39,160.17
8138,937,313,3,19.06,57.18
8139,376,3,5,309.63,1548.15
8140,1438,218,4,257.06,1028.24
8141,590,200,2,15.94,31.88
8142,1339,10,4,68.71,274.84
8143,974,150,5,31.75,158.75
8144,1412,433,2,142.43,284.86
8145,1167,36,4,108.79,435.16
8146,1429,101,2,37.73,75.46
8147,1804,402,3,261.87,785.61
8148,919,355,2,89.66,179.32
8149,1003,71,5,216.14,1080.70
8150,1504,75,5,166.25,831.25
8151,525,364,5,183.70,918.50
8152,1498,272,2,115.79,231.58
8153,1786,225,2,104.34,208.68
8154,348,477,1,229.69,229.69
8155,635,409,5,282.75,1413.75
8156,1117,402,2,210.76,421.52
8157,79,406,4,80.61,322.44
8158,256,330,2,122.64,245.28
8159,634,9,5,98.12,490.60
8160,1165,169,6,59.60,357.60
8161,1529,309,2,251.90,503.80
8162,1863,33,6,35.73,214.38
8163,60,487,4,156.77,627.08
8164,1871,89,5,212.68,1063.40
8165,1662,426,3,29.55,88.65
8166,224,486,5,215.17,1075.85
8167,1722,86,4,245.54,982.16
8168,1226,412,6,171.40,1028.40
8169,914,327,3,264.32,792.96
8170,864,441,1,190.12,190.12
8171,780,489,2,79.14,158.28
8172,1930,368,2,25.54,51.08
8173,690,187,4,180.93,723.72
8174,956,494,3,281.81,845.43
8175,177,248,1,95.32,95.32
8176,376,104,1,19.97,19.97
8177,1760,275,6,246.68,1480.08
8178,1568,396,3,182.99,548.97
8179,1597,267,5,76.08,380.40
8180,1084,146,5,141.68,708.40
8181,1628,15,2,307.25,614.50
8182,1211,106,4,198.60,794.40
8183,909,389,2,149.35,298.70
8184,1700,386,4,143.18,572.72
8185,1508,169,5,299.66,1498.30
8186,53,334,1,63.59,63.59
8187,1033,258,5,62.57,312.85
8188,1210,458,4,201.93,807.72
8189,751,204,6,265.49,1592.94
8190,93,148,5,151.12,755.60
8191,865,372,4,256.30,1025.20
8192,242,151,4,287.20,1148.80
8193,1071,30,2,83.12,166.24
8194,1274,461,2,70.65,141.30
8195,108,452,5,275.46,1377.30
8196,10,176,6,244.65,1467.90
8197,324,169,5,272.51,1362.55
8198,1997,250,4,139.39,557.56
8199,1752,348,6,265.87,1595.22
8200,215,422,5,245.37,1226.85
8201,863,345,6,254.16,1524.96
8202,686,309,5,290.43,1452.15
8203,81,77,2,166.39,332.78
8204,4,316,3,214.22,642.66
8205,990,148,3,66.02,198.06
8206,252,74,4,265.38,1061.52
8207,1388,372,5,299.73,1498.65
8208,478,348,5,94.12,470.60
8209,1894,310,4,232.44,929.76
8210,1729,88,3,36.37,109.11
8211,594,4,1,59.33,59.33
8212,1889,140,2,220.16,440.32
8213,1228,438,4,301.78,1207.12
8214,1216,16,6,223.72,1342.32
8215,749,125,4,163.64,654.56
8216,170,384,5,217.17,1085.85
8217,1322,131,6,70.45,422.70
8218,1128,347,3,176.26,528.78
8219,744,379,3,201.34,604.02
8220,280,236,3,125.30,375.90
8221,1336,93,6,132.92,797.52
8222,1998,174,4,74.54,298.16
8223,733,310,4,21.69,86.76
8224,52,178,4,253.47,1013.88
8225,1924,480,2,211.64,423.28
8226,1857,91,4,274.13,1096.52
8227,1551,91,5,258.68,1293.40
8228,536,395,4,226.70,906.80
8229,951,172,6,94.42,566.52
8230,1287,220,2,59.98,119.96
8231,796,412,2,121.11,242.22
8232,542,364,3,112.19,336.57
8233,726,86,4,98.05,392.20
8234,583,305,5,133.13,665.65
8235,530,199,5,264.94,1324.70
8236,551,484,2,80.24,160.48
8237,908,320,5,91.35,456.75
8238,683,239,6,146.01,876.06
8239,1733,49,2,105.65,211.30
8240,322,390,3,96.24,288.72
8241,293,146,4,187.62,750.48
8242,1213,437,4,21.69,86.76
8243,1189,245,6,282.62,1695.72
8244,1748,472,3,114.51,343.53
8245,1498,109,6,170.91,1025.46
8246,301,197,1,125.38,125.38
8247,453,421,3,143.67,431.01
8248,1465,43,3,308.86,926.58
8249,630,458,5,300.83,1504.15
8250,1666,74,6,226.62,1359.72
8251,886,484,3,227.32,681.96
8252,652,405,4,34.03,136.12
8253,1220,464,2,24.74,49.48
8254,1208,383,4,162.05,648.20
8255,1715,333,4,125.96,503.84
8256,1176,429,1,59.40,59.40
8257,997,316,2,281.50,563.00
8258,1102,243,3,60.27,180.81
8259,74,16,4,272.77,1091.08
8260,1298,21,2,133.30,266.60
8261,1622,133,2,240.98,481.96
8262,490,258,3,229.28,687.84
8263,1394,226,3,230.27,690.81
8264,628,5,1,104.25,104.25
8265,1646,322,4,67.41,269.64
8266,1662,147,4,139.29,557.16
8267,1211,70,4,169.25,677.00
8268,1383,206,2,32.32,64.64
8269,1807,276,1,19.08,19.08
8270,28,435,2,243.20,486.40
8271,1018,140,2,113.73,227.46
8272,1499,34,5,26.01,130.05
8273,1385,62,2,97.73,195.46
8274,88,14,6,96.92,581.52
8275,862,154,5,35.33,176.65
8276,508,206,2,13.99,27.98
8277,595,385,1,287.29,287.29
8278,508,179,4,65.58,262.32
8279,1590,102,4,300.61,1202.44
8280,1061,470,2,79.50,159.00
8281,1108,22,1,196.53,196.53
8282,823,171,2,82.25,164.50
8283,660,189,3,170.99,512.97
8284,236,242,3,223.29,669.87
8285,1778,124,5,206.38,1031.90
8286,1250,203,3,251.60,754.80
8287,1415,287,2,21.90,43.80
